system,system_name,ela_2019,math_2019,ss_2019,ela_2024,math_2024,ss_2024,ela_change,math_change,ss_change,county_income,income_quartile
450,Jefferson County,28.3,30.8,36.6,38.6,37.6,50.4,10.3,6.8,13.8,52600.0,Q3 Upper-Mid
460,Johnson County,29.6,41.1,47.9,23.1,23.0,26.1,-6.5,-18.1,-21.8,38200.0,Q1 Low-Income
470,Knox County,38.7,40.8,49.1,41.2,40.3,52.2,2.5,-0.5,3.1,64800.0,Q4 High-Income
480,Lake County,22.0,22.3,18.1,23.6,15.0,35.7,1.6,-7.3,17.6,29400.0,Q1 Low-Income
490,Lauderdale County,24.6,33.4,31.2,25.9,26.9,20.2,1.3,-6.5,-11.0,36200.0,Q1 Low-Income
500,Lawrence County,34.7,40.4,34.7,38.1,41.7,41.4,3.4,1.3,6.7,47300.0,Q2 Lower-Mid
510,Lewis County,31.7,39.2,21.4,28.2,27.7,29.1,-3.5,-11.5,7.7,39400.0,Q1 Low-Income
520,Lincoln County,36.5,48.0,39.0,37.5,37.3,47.3,1.0,-10.7,8.3,51700.0,Q3 Upper-Mid
521,Fayetteville,25.6,36.6,25.6,27.2,33.3,35.4,1.6,-3.3,9.8,51700.0,Q3 Upper-Mid
530,Loudon County,38.8,54.1,45.3,41.3,44.4,43.6,2.5,-9.7,-1.7,69200.0,Q4 High-Income
531,Lenoir City,27.5,42.6,45.0,27.6,36.5,41.5,0.1,-6.1,-3.5,69200.0,Q4 High-Income
540,McMinn County,30.3,37.6,41.8,34.1,41.4,45.8,3.8,3.8,4.0,49300.0,Q3 Upper-Mid
541,Athens,40.1,48.5,45.0,42.1,46.2,45.4,2.0,-2.3,0.4,49300.0,Q3 Upper-Mid
542,Etowah,30.7,43.1,19.8,34.3,46.6,27.8,3.6,3.5,8.0,49300.0,Q3 Upper-Mid
550,McNairy County,31.0,38.1,32.7,35.4,32.5,46.0,4.4,-5.6,13.3,41300.0,Q1 Low-Income
560,Macon County,31.4,42.1,41.8,33.6,41.7,44.9,2.2,-0.4,3.1,50700.0,Q3 Upper-Mid
570,Madison County,18.6,21.5,21.4,25.7,25.2,27.3,7.1,3.7,5.9,49200.0,Q3 Upper-Mid
580,Marion County,26.3,29.0,33.9,33.5,35.6,47.4,7.2,6.6,13.5,47500.0,Q2 Lower-Mid
581,Richard City,30.0,39.0,14.8,15.4,19.2,8.2,-14.6,-19.8,-6.6,47500.0,Q2 Lower-Mid
590,Marshall County,31.6,42.7,31.3,32.8,39.2,42.8,1.2,-3.5,11.5,53800.0,Q3 Upper-Mid
600,Maury County,23.7,25.7,29.2,30.1,33.2,34.0,6.4,7.5,4.8,69400.0,Q4 High-Income
610,Meigs County,27.7,34.6,35.2,32.8,34.1,37.3,5.1,-0.5,2.1,46200.0,Q2 Lower-Mid
620,Monroe County,28.7,29.0,39.8,27.6,27.6,38.2,-1.1,-1.4,-1.6,45500.0,Q2 Lower-Mid
621,Sweetwater,27.7,34.0,29.3,32.8,37.5,38.8,5.1,3.5,9.5,45500.0,Q2 Lower-Mid
630,Montgomery County,39.6,48.4,54.3,39.4,37.9,53.3,-0.2,-10.5,-1.0,63800.0,Q4 High-Income
